id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
2421,"1607 Manana St, Austin, TX 78730",8,6,10887,2003,TRUE,10995000,https://www.zillow.com/homedetails/1607-Manana-St-Austin-TX-78730/64472521_zpid/,54:47.0
2422,"1904 Chasewood Dr, Austin, TX 78727",4,6,2590,2000,TRUE,478500,https://www.zillow.com/homedetails/1904-Chasewood-Dr-Austin-TX-78727/29445443_zpid/,54:47.9
2423,"12611 Cedar St, Austin, TX 78732",5,6,5630,2001,TRUE,2099000,https://www.zillow.com/homedetails/12611-Cedar-St-Austin-TX-78732/29363504_zpid/,54:49.2
2424,"1917 E 38th St, Austin, TX 78723",3,6,1784,1961,TRUE,680000,https://www.zillow.com/homedetails/1917-E-38th-St-Austin-TX-78723/29394979_zpid/,54:50.7
2425,"2203 Melissa Oaks Ln, Austin, TX 78744",2,,1333,2006,TRUE,350000,https://www.zillow.com/homedetails/2203-Melissa-Oaks-Ln-Austin-TX-78744/70343416_zpid/,54:52.4
2426,"11800 Mira Vista Way #VH-74, Austin, TX 78726",3,6,2531,2012,TRUE,650000,https://www.zillow.com/homedetails/11800-Mira-Vista-Way-VH-74-Austin-TX-78726/119623469_zpid/,54:53.5
2427,"1702 Newning Ave #B, Austin, TX 78704",3,6,2247,1997,TRUE,799000,https://www.zillow.com/homedetails/1702-Newning-Ave-B-Austin-TX-78704/29459236_zpid/,54:54.4
2428,"175 Blazing Star Dr, Austin, TX 78737",5,6,4119,2006,TRUE,650000,https://www.zillow.com/homedetails/175-Blazing-Star-Dr-Austin-TX-78737/80075293_zpid/,54:55.8
2429,"The Midland Plan, Forest Bluff",1,,2170,2021,TRUE,303990,https://www.zillow.com/community/forest-bluff/2077808915_zpid/,54:56.8
2430,"12002 Trotwood Dr, Austin, TX 78753",12002,6,1176,1986,TRUE,325000,https://www.zillow.com/homedetails/12002-Trotwood-Dr-Austin-TX-78753/29435580_zpid/,54:57.7
2431,"14004 Osmarea Dr, Austin, TX 78717",3,,2541,2017,TRUE,499000,https://www.zillow.com/homedetails/14004-Osmarea-Dr-Austin-TX-78717/250924084_zpid/,54:58.8
2432,"3305 S Pleasant Valley Rd, Austin, TX 78741",2017,6,2177,1964,TRUE,699000,https://www.zillow.com/homedetails/3305-S-Pleasant-Valley-Rd-Austin-TX-78741/29465376_zpid/,55:00.0
2433,"2900 S Lakeline Blvd UNIT 122, Cedar Park, TX 78613",2,6,1564,2004,TRUE,1775,https://www.zillow.com/homedetails/2900-S-Lakeline-Blvd-UNIT-122-Cedar-Park-TX-78613/2072316016_zpid/,55:00.9
2434,"1705 Harliquin Run, Austin, TX 78758",3,6,1516,1979,TRUE,285000,https://www.zillow.com/homedetails/1705-Harliquin-Run-Austin-TX-78758/29430094_zpid/,55:02.1
2435,"3311 Werner Ave, Austin, TX 78722",2000,6,1336,1947,TRUE,595000,https://www.zillow.com/homedetails/3311-Werner-Ave-Austin-TX-78722/29396339_zpid/,55:03.3
2436,"3902 Veldt Dr, Austin, TX 78725",0,0,,3902,TRUE,60000,https://www.zillow.com/homedetails/3902-Veldt-Dr-Austin-TX-78725/2072346175_zpid/,55:04.3
2437,"5702 Teri Rd, Austin, TX 78744",5923,6,1571,1997,TRUE,310000,https://www.zillow.com/homedetails/5702-Teri-Rd-Austin-TX-78744/29468152_zpid/,55:05.4
2438,"9110 Wagtail Dr, Austin, TX 78748",2,,1224,1982,TRUE,335000,https://www.zillow.com/homedetails/9110-Wagtail-Dr-Austin-TX-78748/29506932_zpid/,55:06.6
2439,"7502 Barcelona Dr, Austin, TX 78752",7502,6,1626,1969,TRUE,499000,https://www.zillow.com/homedetails/7502-Barcelona-Dr-Austin-TX-78752/29413829_zpid/,55:07.8
2440,"204 E 30th St #204, Austin, TX 78705",3,6,900,1950,TRUE,374900,https://www.zillow.com/homedetails/204-E-30th-St-204-Austin-TX-78705/2072310211_zpid/,55:08.9
2441,"The Denali Plan, Parker Station, TX 78724",2,6,1813,2021,TRUE,363990,https://www.zillow.com/community/parker-station/2084660164_zpid/,55:09.9
2442,"The Roosevelt Plan, Pioneer Hill, TX 78754",4,6,2320,2021,TRUE,399990,https://www.zillow.com/community/pioneer-hill/2077117432_zpid/,55:10.8
2443,"7500 Valburn Dr, Austin, TX 78731",4,6,2997,1976,TRUE,1600000,https://www.zillow.com/homedetails/7500-Valburn-Dr-Austin-TX-78731/29358511_zpid/,55:12.0
2444,"7203 Tybalt St, Austin, TX 78741",3,6,1850,2014,TRUE,435000,https://www.zillow.com/homedetails/7203-Tybalt-St-Austin-TX-78741/124844891_zpid/,55:12.9
2445,"2106 Allwood Dr UNIT C, Austin, TX 78704",4,,2853,2019,TRUE,1445000,https://www.zillow.com/homedetails/2106-Allwood-Dr-UNIT-C-Austin-TX-78704/2079594910_zpid/,55:14.0
