id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
566,"555 E 5th St APT 701, Austin, TX 78701",2,6,1383,2004,TRUE,869000,https://www.zillow.com/homedetails/555-E-5th-St-APT-701-Austin-TX-78701/64435937_zpid/,08:43.6
567,"5210 Emerald Meadow Dr, Austin, TX 78745",3,6,1103,1972,TRUE,475000,https://www.zillow.com/homedetails/5210-Emerald-Meadow-Dr-Austin-TX-78745/29482936_zpid/,08:44.8
568,"900 S 1st St #418, Austin, TX 78704",2,6,1238,2020,TRUE,850000,https://www.zillow.com/homedetails/900-S-1st-St-418-Austin-TX-78704/251036627_zpid/,08:45.7
569,"4103 Prosper Ln, Austin, TX 78731",4,,2608,2021,TRUE,1045000,https://www.zillow.com/homedetails/4103-Prosper-Ln-Austin-TX-78731/2075362184_zpid/,08:46.9
570,"2302 Euclid Ave UNIT 1, Austin, TX 78704",3,6,1800,2020,TRUE,865000,https://www.zillow.com/homedetails/2302-Euclid-Ave-UNIT-1-Austin-TX-78704/2077058021_zpid/,08:48.2
571,"222 West Ave UNIT 2106, Austin, TX 78701",2,6,1376,2014,TRUE,1100000,https://www.zillow.com/homedetails/222-West-Ave-UNIT-2106-Austin-TX-78701/124836625_zpid/,08:49.1
572,"200 Congress Ave UNIT 34P, Austin, TX 78701",3,6,2961,2014,TRUE,3099000,https://www.zillow.com/homedetails/200-Congress-Ave-UNIT-34P-Austin-TX-78701/121656030_zpid/,08:50.2
573,"98 San Jacinto Blvd #609, Austin, TX 78701",2,6,1815,2010,TRUE,1599000,https://www.zillow.com/homedetails/98-San-Jacinto-Blvd-609-Austin-TX-78701/110539243_zpid/,08:51.0
574,"The Perry II Plan, Parker Station",2077636801,,2682,2021,TRUE,423990,https://www.zillow.com/community/parker-station/2077636801_zpid/,08:52.3
575,"The Irvine Plan, Tiermo",2,6,1796,2021,TRUE,308990,https://www.zillow.com/community/tiermo/2078783142_zpid/,08:53.5
576,"200 Congress Ave #18AE, Austin, TX 78701",3,6,3146,2008,TRUE,2700000,https://www.zillow.com/homedetails/200-Congress-Ave-18AE-Austin-TX-78701/2140342146_zpid/,08:54.6
577,"200 W North Loop Blvd, Austin, TX 78751",0,6,3567,2010,TRUE,1200000,https://www.zillow.com/homedetails/200-W-North-Loop-Blvd-Austin-TX-78751/2087628068_zpid/,08:55.7
578,"301 West Ave #3202, Austin, TX 78701",1,6,684,2018,TRUE,655000,https://www.zillow.com/homedetails/301-West-Ave-3202-Austin-TX-78701/306644631_zpid/,08:56.8
579,"The Denali Plan, Pioneer Hill",2,6,1813,2021,TRUE,379990,https://www.zillow.com/community/pioneer-hill/2077117427_zpid/,08:58.3
580,"14116 Flat Top Ranch Rd, Austin, TX 78732",0,0,,14116,TRUE,3500000,https://www.zillow.com/homedetails/14116-Flat-Top-Ranch-Rd-Austin-TX-78732/70337607_zpid/,09:00.4
581,"48 East Ave #1904, Austin, TX 78701",1,6,893,2021,TRUE,674000,https://www.zillow.com/homedetails/48-East-Ave-1904-Austin-TX-78701/2076703690_zpid/,09:01.5
582,"The Paxton (S103) Plan, Easton Park",13,6,1771,2021,TRUE,369990,https://www.zillow.com/community/easton-park/2080028661_zpid/,09:02.3
583,"210 Lavaca St APT 3603, Austin, TX 78701",3,6,4003,2011,TRUE,4250000,https://www.zillow.com/homedetails/210-Lavaca-St-APT-3603-Austin-TX-78701/110539229_zpid/,09:03.5
584,"1200 Minnie Dr, Austin, TX 78732",0,0,,1200,TRUE,500000,https://www.zillow.com/homedetails/1200-Minnie-Dr-Austin-TX-78732/29343887_zpid/,09:04.4
585,"222 West Ave UNIT 1414, Austin, TX 78701",2,6,1322,2014,TRUE,999900,https://www.zillow.com/homedetails/222-West-Ave-UNIT-1414-Austin-TX-78701/124837610_zpid/,09:05.5
586,"4522 Unity Cir #264, Austin, TX 78731",3,,2428,2019,TRUE,1029000,https://www.zillow.com/homedetails/4522-Unity-Cir-264-Austin-TX-78731/2076738580_zpid/,09:06.6
